1000 522
561719 129 287
873953 156 518
503001 39 476
101338 670 672
360906 888 993
367931 677 830
478952 655 728
833547 260 793
780951 317 337
867391 992 998
964503 962 981
524972 405 688
330661 30 488
555851 227 951
51412 498 861
40819 435 746
510571 794 912
1554 966 976
260289 924 990
676141 582 976
740119 14 534
651993 199 961
910518 780 795
295865 919 979
993545 880 942
778490 213 306
532285 942 942
921164 975 982
313047 94 143
186978 592 825
78422 796 955
43565 465 800
230026 358 728
890581 181 541
664179 588 905
890232 793 834
706333 718 869
572646 61 698
577147 769 825
258397 861 890
976643 610 874
334274 972 995
479498 872 990
540640 907 931
779296 788 884
354980 716 823
69613 530 583
571864 324 343
811660 549 986
73184 234 755
114664 351 532
603443 18 625
100373 447 690
84443 877 938
587953 959 987
66926 53 467
276220 613 636
963982 348 998
177396 833 928
61215 110 252
318645 855 871
225353 712 742
400592 966 970
491374 263 837
411562 17 945
220268 292 344
883607 644 685
345173 374 903
79222 922 992
238637 761 922
75088 422 966
905574 720 986
364780 672 979
976920 726 806
700405 385 446
974979 178 380
111120 840 989
905800 698 966
747639 750 972
648933 407 931
992539 64 382
108785 123 667
621816 693 914
659672 839 896
443257 120 378
801879 153 782
285518 598 932
472635 716 895
356364 706 710
805526 705 855
854597 599 952
482562 238 684
555688 735 958
950938 748 803
734299 148 177
728118 958 963
183127 676 928
160486 151 364
46659 576 718
560114 260 625
978837 679 699
830352 3 403
653413 246 319
968742 971 985
633107 588 692
229697 285 818
685403 997 999
864597 698 772
712053 724 852
666807 525 885
674803 150 334
581785 547 944
130518 547 903
422917 409 776
340977 350 586
622620 534 755
67266 375 610
445199 81 870
660428 280 629
52958 125 594
597689 622 975
232849 771 880
245871 985 990
51828 343 443
213296 495 798
653719 894 931
726007 756 963
164549 311 552
650769 997 998
191620 448 996
839737 143 636
2702 531 934
626296 178 585
312013 235 292
640380 258 536
565085 896 991
364918 160 422
302589 626 713
517113 437 604
856023 403 553
308944 223 579
457010 646 746
444256 920 983
283892 904 993
237759 644 782
611996 701 789
428372 746 814
268543 22 948
116656 270 825
419331 887 948
361579 125 872
84313 910 936
359747 1 998
542015 810 877
359986 598 967
281717 57 421
14030 157 508
727615 37 132
362661 872 935
291612 336 424
772121 622 667
997253 103 690
471161 977 984
553897 572 789
573793 612 872
803494 111 951
577172 881 907
314763 30 971
8855 363 866
200397 395 986
16913 199 756
563784 438 524
146656 994 997
840823 804 967
179390 150 525
472950 575 748
854485 45 51
864375 222 900
241696 82 378
439938 967 992
278723 140 538
657649 650 710
619500 77 266
612331 929 976
48299 116 722
767456 790 925
279694 463 703
203078 532 600
620096 459 839
589458 322 440
951780 888 908
474554 955 962
352877 543 935
167273 906 930
916097 230 547
104323 422 556
711375 518 930
792922 793 985
350189 795 814
579953 486 916
284853 245 675
973616 50 299
595553 789 830
722408 338 668
